Worker,Colony,Worker,Species,Task,Femur,Tibia,Thorax,Scape,Head Width,Head Height,Log_Femur,Log_HW ,Log_Tibia,Log_Scape,Log_HH,Log_Thorax,Group
SYLC11W12,SYLC11,,Formica aserva,NB,,,,,1.987,,,,,,,,Mound-building
SYLC11W13,SYLC11,,Formica aserva,NB,,,,,1.961,,,,,,,,Mound-building
SYLC11W14,SYLC11,,Formica aserva,NB,,,,,1.906,,,,,,,,Mound-building
SYLC11W15,SYLC11,,Formica aserva,NB,,,,,1.55,,,,,,,,Mound-building
SYLC11W16,SYLC11,,Formica aserva,NB,,,,,1.656,,,,,,,,Mound-building
SYLC11W17,SYLC11,,Formica aserva,PF,,,,,2.017,,,,,,,,Mound-building
SYLC11W18,SYLC11,,Formica aserva,PF,,,,,1.675,,,,,,,,Mound-building
SYLC11W19,SYLC11,,Formica aserva,PF,,,,,1.983,,,,,,,,Mound-building
SYLC11W20,SYLC11,,Formica aserva,PF,,,,,1.785,,,,,,,,Mound-building
SYLC11W21,SYLC11,,Formica aserva,PF,,,,,1.814,,,,,,,,Mound-building
SYLC11W22,SYLC11,,Formica aserva,PF,,,,,1.89,,,,,,,,Mound-building
SYLC11W23,SYLC11,,Formica aserva,PF,,,,,1.822,,,,,,,,Mound-building
SYLC11W24,SYLC11,,Formica aserva,PF,,,,,1.733,,,,,,,,Mound-building
SYLC20W2,SYLC20,,Formica aserva,HC,,,,,1.439,,,,,,,,Mound-building
SYLC20W3,SYLC20,,Formica aserva,HC,,,,,1.513,,,,,,,,Mound-building
SYLC20W4,SYLC20,,Formica aserva,HC,,,,,1.604,,,,,,,,Mound-building
SYLC20W5,SYLC20,,Formica aserva,HC,,,,,1.463,,,,,,,,Mound-building
SYLC20W6,SYLC20,,Formica aserva,HC,,,,,1.526,,,,,,,,Mound-building
SYLC20W7,SYLC20,,Formica aserva,HC,,,,,1.752,,,,,,,,Mound-building
SYLC20W8,SYLC20,,Formica aserva,HC,,,,,1.182,,,,,,,,Mound-building
SYLC20W9,SYLC20,,Formica aserva,HC,,,,,1.333,,,,,,,,Mound-building
SYLC20W10,SYLC20,,Formica aserva,NB,,,,,1.842,,,,,,,,Mound-building
SYLC20W11,SYLC20,,Formica aserva,NB,,,,,1.789,,,,,,,,Mound-building
SYLC20W12,SYLC20,,Formica aserva,NB,,,,,1.718,,,,,,,,Mound-building
SYLC20W13,SYLC20,,Formica aserva,NB,,,,,1.712,,,,,,,,Mound-building
SYLC20W14,SYLC20,,Formica aserva,NB,,,,,1.276,,,,,,,,Mound-building
SYLC20W15,SYLC20,,Formica aserva,NB,,,,,1.845,,,,,,,,Mound-building
SYLC20W16,SYLC20,,Formica aserva,NB,,,,,1.868,,,,,,,,Mound-building
SYLC20W17,SYLC20,,Formica aserva,NB,,,,,1.582,,,,,,,,Mound-building
SYLC20W18,SYLC20,,Formica aserva,PF,,,,,1.888,,,,,,,,Mound-building
SYLC20W19,SYLC20,,Formica aserva,PF,,,,,1.867,,,,,,,,Mound-building
SYLC20W20,SYLC20,,Formica aserva,PF,,,,,1.827,,,,,,,,Mound-building
SYLC20W21,SYLC20,,Formica aserva,PF,,,,,1.856,,,,,,,,Mound-building
CMOC2W2,CMOC2,,Formica aserva,HC,,,,,1.257,,,,,,,,Mound-building
CMOC2W3,CMOC2,,Formica aserva,HC,,,,,1.164,,,,,,,,Mound-building
CMOC2W4,CMOC2,,Formica aserva,HC,,,,,1.158,,,,,,,,Mound-building
CMOC2W5,CMOC2,,Formica aserva,HC,,,,,1.516,,,,,,,,Mound-building
CMOC2W6,CMOC2,,Formica aserva,HC,,,,,1.364,,,,,,,,Mound-building
CMOC2W7,CMOC2,,Formica aserva,HC,,,,,1.148,,,,,,,,Mound-building
CMOC2W8,CMOC2,,Formica aserva,HC,,,,,1.137,,,,,,,,Mound-building
CMOC2W9,CMOC2,,Formica aserva,HC,,,,,1.187,,,,,,,,Mound-building
CMOC2W10,CMOC2,,Formica aserva,NB,,,,,1.741,,,,,,,,Mound-building
CMOC2W11,CMOC2,,Formica aserva,NB,,,,,1.71,,,,,,,,Mound-building
CMOC2W12,CMOC2,,Formica aserva,NB,,,,,1.956,,,,,,,,Mound-building
CMOC2W13,CMOC2,,Formica aserva,NB,,,,,1.495,,,,,,,,Mound-building
CMOC2W14,CMOC2,,Formica aserva,NB,,,,,1.524,,,,,,,,Mound-building
CMOC2W15,CMOC2,,Formica aserva,NB,,,,,1.522,,,,,,,,Mound-building
CMOC2W16,CMOC2,,Formica aserva,NB,,,,,1.357,,,,,,,,Mound-building
CMOC2W17,CMOC2,,Formica aserva,NB,,,,,1.845,,,,,,,,Mound-building
CMOC2W18,CMOC2,,Formica aserva,PF,,,,,1.754,,,,,,,,Mound-building
CMOC2W19,CMOC2,,Formica aserva,PF,,,,,1.526,,,,,,,,Mound-building
CMOC2W20,CMOC2,,Formica aserva,PF,,,,,1.551,,,,,,,,Mound-building
CMOC2W21,CMOC2,,Formica aserva,PF,,,,,1.868,,,,,,,,Mound-building
CMOC2W22,CMOC2,,Formica aserva,PF,,,,,1.954,,,,,,,,Mound-building
CMOC2W23,CMOC2,,Formica aserva,PF,,,,,1.884,,,,,,,,Mound-building
CMOC2W24,CMOC2,,Formica aserva,PF,,,,,1.75,,,,,,,,Mound-building
EXSC1W2,EXSC1,,Formica dakotensis,HC,,,,,1.181,,,,,,,,Mound-building
EXSC1W3,EXSC1,,Formica dakotensis,HC,,,,,1.222,,,,,,,,Mound-building
EXSC1W4,EXSC1,,Formica dakotensis,HC,,,,,1.096,,,,,,,,Mound-building
EXSC1W5,EXSC1,,Formica dakotensis,HC,,,,,1.092,,,,,,,,Mound-building
EXSC1W6,EXSC1,,Formica dakotensis,HC,,,,,0.998,,,,,,,,Mound-building
EXSC1W7,EXSC1,,Formica dakotensis,HC,,,,,1.128,,,,,,,,Mound-building
EXSC1W8,EXSC1,,Formica dakotensis,HC,,,,,1.337,,,,,,,,Mound-building
EXSC1W9,EXSC1,,Formica dakotensis,HC,,,,,1.006,,,,,,,,Mound-building
EXSC1W10,EXSC1,,Formica dakotensis,NB,,,,,1.309,,,,,,,,Mound-building
EXSC1W11,EXSC1,,Formica dakotensis,NB,,,,,1.332,,,,,,,,Mound-building
EXSC1W12,EXSC1,,Formica dakotensis,NB,,,,,1.402,,,,,,,,Mound-building
EXSC1W13,EXSC1,,Formica dakotensis,NB,,,,,1.399,,,,,,,,Mound-building
EXSC1W14,EXSC1,,Formica dakotensis,NB,,,,,1.36,,,,,,,,Mound-building
EXSC1W15,EXSC1,,Formica dakotensis,NB,,,,,1.263,,,,,,,,Mound-building
EXSC1W16,EXSC1,,Formica dakotensis,NB,,,,,1.317,,,,,,,,Mound-building
EXSC1W17,EXSC1,,Formica dakotensis,NB,,,,,1.297,,,,,,,,Mound-building
EXSC1W18,EXSC1,,Formica dakotensis,PF,,,,,1.294,,,,,,,,Mound-building
EXSC1W19,EXSC1,,Formica dakotensis,PF,,,,,1.447,,,,,,,,Mound-building
EXSC1W20,EXSC1,,Formica dakotensis,PF,,,,,1.333,,,,,,,,Mound-building
EXSC1W21,EXSC1,,Formica dakotensis,PF,,,,,1.154,,,,,,,,Mound-building
EXSC1W22,EXSC1,,Formica dakotensis,PF,,,,,1.461,,,,,,,,Mound-building
EXSC1W23,EXSC1,,Formica dakotensis,PF,,,,,1.33,,,,,,,,Mound-building
EXSC1W24,EXSC1,,Formica dakotensis,PF,,,,,1.1,,,,,,,,Mound-building
EXSC1W25,EXSC1,,Formica dakotensis,PF,,,,,1.197,,,,,,,,Mound-building
EXSC3W2,EXSC3,,Formica dakotensis,HC,,,,,1.272,,,,,,,,Mound-building
EXSC3W3,EXSC3,,Formica dakotensis,HC,,,,,1.191,,,,,,,,Mound-building
EXSC3W4,EXSC3,,Formica dakotensis,HC,,,,,1.154,,,,,,,,Mound-building
EXSC3W5,EXSC3,,Formica dakotensis,HC,,,,,1.147,,,,,,,,Mound-building
EXSC3W6,EXSC3,,Formica dakotensis,HC,,,,,1.277,,,,,,,,Mound-building
EXSC3W7,EXSC3,,Formica dakotensis,HC,,,,,1.274,,,,,,,,Mound-building
EXSC3W8,EXSC3,,Formica dakotensis,HC,,,,,1.066,,,,,,,,Mound-building
EXSC3W9,EXSC3,,Formica dakotensis,HC,,,,,1.031,,,,,,,,Mound-building
EXSC3W10,EXSC3,,Formica dakotensis,NB,,,,,1.261,,,,,,,,Mound-building
EXSC3W11,EXSC3,,Formica dakotensis,NB,,,,,1.328,,,,,,,,Mound-building
EXSC3W12,EXSC3,,Formica dakotensis,NB,,,,,1.163,,,,,,,,Mound-building
EXSC3W13,EXSC3,,Formica dakotensis,NB,,,,,1.26,,,,,,,,Mound-building
EXSC3W14,EXSC3,,Formica dakotensis,NB,,,,,1.266,,,,,,,,Mound-building
EXSC3W15,EXSC3,,Formica dakotensis,NB,,,,,1.216,,,,,,,,Mound-building
EXSC3W16,EXSC3,,Formica dakotensis,NB,,,,,1.356,,,,,,,,Mound-building
EXSC3W17,EXSC3,,Formica dakotensis,NB,,,,,1.155,,,,,,,,Mound-building
EXSC3W18,EXSC3,,Formica dakotensis,PF,,,,,1.195,,,,,,,,Mound-building
EXSC3W19,EXSC3,,Formica dakotensis,PF,,,,,1.137,,,,,,,,Mound-building
EXSC3W20,EXSC3,,Formica dakotensis,PF,,,,,1.31,,,,,,,,Mound-building
EXSC3W21,EXSC3,,Formica dakotensis,PF,,,,,1.352,,,,,,,,Mound-building
EXSC3W22,EXSC3,,Formica dakotensis,PF,,,,,1.298,,,,,,,,Mound-building
EXSC3W23,EXSC3,,Formica dakotensis,PF,,,,,1.264,,,,,,,,Mound-building
SYLC21W2,SYLC21,,Formica glacialis,HC,,,,,1.079,,,,,,,,Subterranean
SYLC21W3,SYLC21,,Formica glacialis,HC,,,,,1.061,,,,,,,,Subterranean
SYLC21W4,SYLC21,,Formica glacialis,HC,,,,,1.105,,,,,,,,Subterranean
SYLC21W5,SYLC21,,Formica glacialis,HC,,,,,1.044,,,,,,,,Subterranean
SYLC21W6,SYLC21,,Formica glacialis,HC,,,,,1.221,,,,,,,,Subterranean
SYLC21W7,SYLC21,,Formica glacialis,HC,,,,,1.136,,,,,,,,Subterranean
SYLC21W8,SYLC21,,Formica glacialis,HC,,,,,1.18,,,,,,,,Subterranean
SYLC21W9,SYLC21,,Formica glacialis,HC,,,,,1.08,,,,,,,,Subterranean
SYLC21W10,SYLC21,,Formica glacialis,NB,,,,,1.306,,,,,,,,Subterranean
SYLC21W11,SYLC21,,Formica glacialis,NB,,,,,1.052,,,,,,,,Subterranean
SYLC21W12,SYLC21,,Formica glacialis,NB,,,,,1.089,,,,,,,,Subterranean
SYLC21W13,SYLC21,,Formica glacialis,NB,,,,,1.327,,,,,,,,Subterranean
SYLC21W14,SYLC21,,Formica glacialis,NB,,,,,1.079,,,,,,,,Subterranean
