worker_ID,head width (mm),task,painted,,,,,
SYLC17W18,1.42,PF,Y,,,,,
SYLC17W19,1.573,PF,Y,,,,,
SYLC17W20,1.481,PF,N,,,,,
SYLC17W21,1.517,PF,N,,,,,
SYLC17W22,1.49,PF,N,,,,,
SYLC17W23,1.51,PF,N,,,,,
SYLC17W24,1.49,PF,N,,,,,
SYLC17W25,1.25,PF,N,,,,,
,,,,,,,,
NHIC1W2,1.318,HC,Y,glacialis,,,,
NHIC1W3,1.45,HC,Y,,,,,
NHIC1W4,1.373,HC,Y,,,,,
NHIC1W5,1.405,HC,Y,,,,,
NHIC1W6,1.447,HC,Y,,,,,
NHIC1W7,1.406,HC,Y,,,,,
NHIC1W8,1.383,HC,Y,,,,,
NHIC1W9,1.469,HC,Y,,,,,
NHIC1W10,1.439,NB,N,,,,,
NHIC1W11,1.387,NB,N,,,,,
NHIC1W12,1.491,NB,N,,,,,
NHIC1W13,1.44,NB,N,,,,,
NHIC1W14,1.428,NB,N,,,,,
NHIC1W15,1.455,NB,N,,,,,
NHIC1W16,1.368,NB,N,,,,,
NHIC1W17,1.5,NB,N,,,,,
NHIC1W18,1.461,PF,Y,,,,,
NHIC1W19,1.391,PF,Y,,,,,
NHIC1W20,1.361,PF,Y,,,,,
NHIC1W21,1.365,PF,N,,,,,
NHIC1W22,1.392,PF,N,,,,,
NHIC1W23,1.335,PF,N,,,,,
NHIC1W24,1.48,PF,N,,,,,
NHIC1W25,1.423,PF,N,,,,,
,,,,,,,,
SYLC23W2,1.743,HC,Y,aserva,,,,
SYLC23W3,1.659,HC,Y,,,,,
SYLC23W4,1.44,HC,Y,,,,,
SYLC23W5,1.508,HC,Y,,,,,
SYLC23W6,1.486,HC,Y,,,,,
SYLC23W7,1.228,HC,Y,,,,,
SYLC23W8,1.396,HC,Y,,,,,
SYLC23W9,1.317,HC,Y,,,,,
SYLC23W10,1.413,NB,Y,,,,,
SYLC23W11,1.713,NB,N,,,,,
SYLC23W12,1.496,NB,N,,,,,
SYLC23W13,1.805,NB,N,,,,,
SYLC23W14,1.343,NB,N,,,,,
SYLC23W15,1.727,NB,N,,,,,
SYLC23W16,1.604,NB,N,,,,,
SYLC23W17,1.742,NB,N,,,,,
SYLC23W18,1.694,PF,N,,,,,
SYLC23W19,1.78,PF,N,,,,,
SYLC23W20,1.399,PF,N,,,,,
SYLC23W21,1.602,PF,N,,,,,
SYLC23W22,1.822,PF,N,,,,,
SYLC23W23,1.545,PF,N,,,,,
SYLC23W24,1.747,PF,N,,,,,
SYLC23W25,1.598,PF,N,,,,,
,,,,,,,,
SYLC11W2,1.725,HC,Y,aserva,,,,
SYLC11W3,1.097,HC,Y,,,,,
SYLC11W4,1.353,HC,Y,,,,,
SYLC11W5,1.46,HC,Y,,,,,
SYLC11W6,1.406,HC,Y,,,,,
SYLC11W7,1.438,HC,Y,,,,,
SYLC11W8,1.221,HC,Y,,,,,
SYLC11W9,1.395,HC,Y,,,,,
SYLC11W10,1.828,NB,Y,,,,,
SYLC11W11,1.841,NB,Y,,,,,
SYLC11W12,1.987,NB,N,,,,,
SYLC11W13,1.961,NB,N,,,,,
SYLC11W14,1.906,NB,N,,,,,
SYLC11W15,1.55,NB,N,,,,,
SYLC11W16,1.656,NB,N,,,,,
SYLC11W17,2.017,PF,N,,,,,
SYLC11W18,1.675,PF,N,,,,,
SYLC11W19,1.983,PF,N,,,,,
SYLC11W20,1.785,PF,N,,,,,
SYLC11W21,1.814,PF,N,,,,,
SYLC11W22,1.89,PF,N,,,,,
SYLC11W23,1.822,PF,N,,,,,
SYLC11W24,1.733,PF,N,,,,,
,,,,,,,,
SYLC10W2,1.478,HC,Y,glacialis,,,,
SYLC10W3,1.426,HC,Y,,,,,
SYLC10W4,1.142,HC,Y,,,,,
SYLC10W5,1.284,HC,Y,,,,,
SYLC10W6,1.371,HC,Y,,,,,
SYLC10W7,1.431,HC,Y,,,,,
SYLC10W8,1.323,HC,Y,,,,,
SYLC10W9,1.407,HC,Y,,,,,
SYLC10W10,1.415,NB,Y,,,,,
SYLC10W11,1.428,NB,Y,,,,,
SYLC10W12,1.466,NB,N,,,,,
SYLC10W13,1.341,NB,N,,,,,
SYLC10W14,1.345,NB,N,,,,,
SYLC10W15,1.418,NB,N,,,,,
SYLC10W16,1.238,NB,N,,,,,
SYLC10W17,1.351,NB,N,,,,,
SYLC10W18,1.344,PF,N,,,,,
SYLC10W19,1.489,PF,N,,,,,
SYLC10W20,1.353,PF,N,,,,,
SYLC10W21,1.273,PF,N,,,,,
SYLC10W22,1.259,PF,N,,,,,
